Feature	Importance Score
( TF-IDF	0.046598732547841276
VADER POSITIVE	0.0391621920796854
<cropped> TF-IDF	0.03381744614681988
VADER NEGATIVE	0.03222257277967209
MEAN WORD LENGTH	0.02486526085679275
<user> TF-IDF	0.02386908633510711
VADER NEUTRAL	0.02242273755360056
WORD PERCENTAGE	0.019447766143649448
POS NOUNS	0.01654803544832913
DICTIONARY PERCENTAGE	0.01546993327955525
POS ADJECTIVES	0.01321660246004575
POS VERBS	0.01315666875979671
! TF-IDF	0.010982757033019657
. TF-IDF	0.00994146663702672
POS ADVERBS	0.009815021840423424
<number> TF-IDF	0.00960127333964553
EMPATH negative_emotion	0.009587330780436002
UNIQUENESS PERCENTAGE	0.008645683610167959
) TF-IDF	0.00836745771841174
, TF-IDF	0.007027186528488413
? TF-IDF	0.006378223034613373
<hashtag> TF-IDF	0.00604068197910974
EMPATH optimism	0.005399173903631539
EMPATH friends	0.005293651992023456
<url> TF-IDF	0.005003087250331329
EMPATH positive_emotion	0.00497323134065484
miss TF-IDF	0.004591690849890119
EMPATH death	0.004476570725206445
thanks TF-IDF	0.004443773556474165
- TF-IDF	0.004411623007127417
wish TF-IDF	0.004172935885030955
EMPATH social_media	0.004116508492628644
not TF-IDF	0.004002572249583785
EMPATH confusion	0.003994952774649469
<emoji_pos> TF-IDF	0.00392427119845684
i'm TF-IDF	0.0037779123592589585
want TF-IDF	0.0037673556951833614
EMPATH speaking	0.0036515669890915155
EMPATH party	0.0036184683944727554
EMPATH technology	0.0035880895791806124
